name,address,price,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,host_review_score,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Tahami Hotel Thu Duc,"1A Đ. D2, Thủ Đức, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"6,2",135,6.7,6.2,6.0,5.7,5.9,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,643.572,444.124
Cozrum Homes - Retro House,"The Alley 520 No 1 , Ng Gia Tự, Ward 09, District 5 , Quận 5, Hồ Chí Minh, Việt Nam, 08400001",Không có giá,"7,7",805,8.5,8.1,8.0,8.1,8.0,Không có đánh giá chủ nhà,1,0,0,0,0,0,0,1,1,Không có giá trước,Không có giá sau
Caravelle Saigon Hotel,"19-23 Công Trường Lam Sơn, Quận 1 , Quận 1, Hồ Chí Minh, Việt Nam,",Không có giá,"8,9",7660,9.5,9.0,8.5,8.8,9.1,Không có đánh giá chủ nhà,1,1,0,0,1,1,1,1,1,Không có giá trước,Không có giá sau
Khách sạn Lucky Liên Phường (Lucky Hotel Lien Phuong),"No 85-87, 06 street, Phu Huu ward, District 9, Quận 9, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,6",215,7.8,8.0,7.9,7.7,7.8,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,363.000,271.331
Yên House 09 (Yen House 09),"246/45 Đồng Đen, Phường 10, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"7,8",71,8.6,8.2,8.3,7.7,8.0,Không có đánh giá chủ nhà,0,0,0,0,0,0,0,1,1,354.633,351.852
Khách sạn Sân bay Sunflowers (Sunflowers Hotel Airport ),"18 Lam Sơn, Quận Tân Bình, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"7,5",706,8.1,7.8,7.7,7.0,7.4,Không có đánh giá chủ nhà,0,0,0,0,1,1,1,1,1,626.236,559.387
Khách Sạn Kadupul (Kadupul Hotel),"212 Nguyen Thai Son Street, Ward 1, Gò Vấp, Hồ Chí Minh, Việt Nam, 71408",Không có giá,"7,8",192,7.9,7.4,7.9,7.2,7.7,Không có đánh giá chủ nhà,0,1,0,0,0,0,1,1,1,585.416,451.388
khách sạn Vạn Thành Đạt (khach san Van Thanh Đat),"959 Đường Nguyễn Ảnh Thủ, Quận 12, Hồ Chí Minh, Việt Nam",Không có giá,"8,4",40,7.8,7.4,7.6,7.4,7.4,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,259.259
Khách sạn Enjoy 5A (Enjoy Hotel 5A),"So 2 Duong 5A khu dan cu Trung Son,, Bình Hưng, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,2",269,8.4,8.1,8.5,8.1,8.3,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,859.744
Hoa Hong Hotel Ho Chi Minh City,"No. 166, Le Cao Lang, Phu Thanh, Tan Phu Hotel Hoa Hong, Khách sạn Hoa Hồng, Tân Phú, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,1",218,8.0,8.9,7.7,7.6,7.9,Không có đánh giá chủ nhà,1,1,1,0,0,0,1,1,1,738.456,292.459
Khách sạn Rita (Rita Hotel - Home - San Bay TSN & Canh Benh Vien Tam Anh),"11 Tran Quoc Hoan, Phuong 4, Quan tan Binh, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"6,2",123,5.6,5.5,4.7,4.6,4.4,Không có đánh giá chủ nhà,1,0,0,0,1,0,1,1,1,Không có giá trước,675.926
Cozrum Homes - Spring Residence,"No. 26, 69/1 Nguyen Gia Tri, Ward 25, Binh Thanh District, Vietnam , Bình Thạnh, Hồ Chí Minh, Việt Nam, 0840001",Không có giá,"8,7",511,9.2,9.0,9.1,9.1,9.1,Không có đánh giá chủ nhà,1,0,0,0,0,0,0,1,1,Không có giá trước,902.299
Sedona Suites TP. Hồ Chí Minh (Sedona Suites Ho Chi Minh City),"67 Lê Lợi, Quận 1, Phường Bến Nghé, thành phố Hồ Chí Minh, Việt Nam, Quận 1, Hồ Chí Minh, Việt Nam, 710200",Không có giá,"9,2",1934,9.8,9.4,8.9,9.2,9.6,Không có đánh giá chủ nhà,1,1,0,1,1,1,1,1,1,Không có giá trước,Không có giá sau
Khách Sạn Cupid 2 (Cupid 2 Hotel),"52/25-52/27 Cu Lao, Ward 2, Phú Nhuận, Hồ Chí Minh, Việt Nam, 72210",Không có giá,"8,5",830,8.7,8.9,8.8,8.7,8.8,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,1,Không có giá trước,1.368.056
Erato Boutique Hotel,"44-46 Hong Ha street, Ward 2 , Tan Binh District, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"7,5",2261,8.4,7.6,7.6,6.7,7.3,Không có đánh giá chủ nhà,0,1,0,0,1,0,1,1,1,565.027,441.979
Cozrum Homes - Summer's House,"Room 1A, No. 50, Street 3/2, Ward 12, District 10, Ho Chi Minh City, Quận 10, Hồ Chí Minh, Việt Nam, 08400001",Không có giá,"7,1",805,7.9,7.8,7.8,7.5,7.4,Không có đánh giá chủ nhà,1,0,0,0,0,1,0,1,0,Không có giá trước,670.402
The Passion Airport Hotel Apartment,"60/24 Yen Thế, Phường 2, Tan Binh, TP. Hồ Chi Minh, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,3",400,8.8,8.9,8.4,8.3,8.5,Không có đánh giá chủ nhà,1,1,1,0,1,1,1,1,1,Không có giá trước,Không có giá sau
Hạnh Trang Hotel,"113 Xuân Hồng, Tân Bình, Hồ Chí Minh, Việt Nam",Không có giá,"8,1",464,8.3,8.7,8.6,8.1,8.6,Không có đánh giá chủ nhà,1,0,0,0,1,0,1,1,1,905.378,555.561
M Village Living Cửu Long,"44a Cửu Long, M Village, Tân Bình, Hồ Chí Minh, Việt Nam, 700000",Không có giá,"8,9",1217,9.2,9.3,9.2,8.9,9.4,Không có đánh giá chủ nhà,0,0,0,1,1,1,0,1,1,2.621.269,1.354.712
Khách sạn Ruby Sài Gòn Bến Thành (Ruby Saigon Hotel - Ben Thanh),"267 - 269 Le Thanh Ton Str, Ben Thanh Ward, Quận 1, Hồ Chí Minh, Việt Nam, 70000",Không có giá,"7,2",2293,8.4,7.1,7.2,6.4,7.0,Không có đánh giá chủ nhà,0,1,0,0,1,0,1,1,1,Không có giá trước,Không có giá sau
Binh An Hotel,"96-98 duong so 20, phuong Binh An, Quan 2, Quận 2, Hồ Chí Minh, Việt Nam",Không có giá,"6,8",136,6.7,6.8,6.1,5.4,6.3,Không có đánh giá chủ nhà,1,1,1,0,1,0,1,1,1,Không có giá trước,1.101.587
ĐẠI BÌNH MINH,"No. 49, Nguyen Thi Thap Street, Tan Phu, District 7, Quận 7, Hồ Chí Minh, Việt Nam",Không có giá,"6,3",17,6.3,6.4,6.4,5.9,5.7,Không có đánh giá chủ nhà,0,0,0,0,0,0,1,1,0,750.000,443.457
